method,selected_features,train_time_sec,predict_time_sec,accuracy,balanced_accuracy,auc,f1,train_n,repeat
RBF-SVM,500,3.347305500006769,0.4941693330183625,0.5933333333333334,0.5933333333333334,0.6307555555555555,0.5892255892255892,2000,0
Random Forest,500,0.5322792079532519,0.05473045801045373,0.7333333333333333,0.7333333333333334,0.8143722222222223,0.726962457337884,2000,0
Logistic Regression,500,0.15514699998311698,0.0120234580244869,0.58,0.58,0.5994111111111111,0.5757575757575758,2000,1
L1 Logistic,500,0.09505091601749882,0.00861404201714322,0.5816666666666667,0.5816666666666667,0.614311111111111,0.5767284991568297,2000,1
Linear SVM,500,0.15603295899927616,0.00967366702388972,0.58,0.5800000000000001,0.6021222222222222,0.5771812080536913,2000,1
RBF-SVM,500,3.2932242089882493,0.4868850829661824,0.5933333333333334,0.5933333333333334,0.6307555555555555,0.5892255892255892,2000,1
Random Forest,500,0.5183371659950353,0.05439641699194908,0.7333333333333333,0.7333333333333334,0.8143722222222223,0.726962457337884,2000,1
Logistic Regression,500,0.17448604200035334,0.008606458024587482,0.58,0.58,0.5994111111111111,0.5757575757575758,2000,2
L1 Logistic,500,0.10027987498324364,0.00918900000397116,0.5816666666666667,0.5816666666666667,0.614311111111111,0.5767284991568297,2000,2
Linear SVM,500,0.1604074589558877,0.008921416010707617,0.58,0.5800000000000001,0.6021222222222222,0.5771812080536913,2000,2
RBF-SVM,500,3.263368833984714,0.48975191602949053,0.5933333333333334,0.5933333333333334,0.6307555555555555,0.5892255892255892,2000,2
Random Forest,500,0.5366921249660663,0.054244917002506554,0.7333333333333333,0.7333333333333334,0.8143722222222223,0.726962457337884,2000,2
Logistic Regression,500,0.17771833401639014,0.008932124997954816,0.58,0.58,0.5994111111111111,0.5757575757575758,2000,3
L1 Logistic,500,0.10678129200823605,0.012408833019435406,0.5816666666666667,0.5816666666666667,0.614311111111111,0.5767284991568297,2000,3
Linear SVM,500,0.15781366697046906,0.008363250002730638,0.58,0.5800000000000001,0.6021222222222222,0.5771812080536913,2000,3
RBF-SVM,500,3.247825041995384,0.48871945799328387,0.5933333333333334,0.5933333333333334,0.6307555555555555,0.5892255892255892,2000,3
Random Forest,500,0.5172430839738809,0.054005042009521276,0.7333333333333333,0.7333333333333334,0.814361111111111,0.726962457337884,2000,3
Logistic Regression,500,0.15588062501046807,0.009503167006187141,0.58,0.58,0.5994111111111111,0.5757575757575758,2000,4
L1 Logistic,500,0.09493220795411617,0.009463333990424871,0.5816666666666667,0.5816666666666667,0.614311111111111,0.5767284991568297,2000,4
Linear SVM,500,0.16152550000697374,0.008705708023626357,0.58,0.5800000000000001,0.6021222222222222,0.5771812080536913,2000,4
RBF-SVM,500,3.2729497909895144,0.4895869999891147,0.5933333333333334,0.5933333333333334,0.6307555555555555,0.5892255892255892,2000,4
Random Forest,500,0.5251638750196435,0.06653945799916983,0.7333333333333333,0.7333333333333334,0.8143722222222223,0.726962457337884,2000,4
