feature,anova_f,anova_p,mutual_information,l1_logistic_abs_coef,random_forest_importance,permutation_importance,permutation_importance_std,rfe_inverse_rank,rfe_rank,rank_ANOVA F-test,rank_Mutual Information,rank_L1 Logistic,rank_Random Forest,rank_Permutation Importance,rank_RFE
V403,0.21563806583875023,0.6424343770746578,0.0,0.0,0.00045986629010706106,0.003400000000000003,0.0020099751242241798,0.1111111111111111,9,336,247,299,495,106,351
V404,1.9495295031546689,0.16279266129602338,0.0,0.0711775486640016,0.0018228680991917946,0.0008000000000000007,0.0020396078054371156,0.5,2,107,247,38,186,285,2
V405,1.3441057471816389,0.24644973964413572,0.017579813321201065,0.011877733650786124,0.00025419390968330996,0.0006000000000000005,0.0012806248474865707,0.14285714285714285,7,143,15,229,498,299,251
V406,0.1769203853592745,0.6740785153412614,0.0,0.0,0.0017092558365218908,0.004600000000000004,0.0026907248094147447,0.1111111111111111,9,354,247,299,262,59,351
V407,0.6160936150027346,0.4325956945699499,0.007335413824274717,0.004230655932030994,0.0016062972832915309,-0.0006000000000000005,0.003231098884280705,0.16666666666666666,6,237,109,275,324,391,201
V408,0.7413191267521098,0.3893419520247362,0.0,0.005749171923723626,0.0009613870563550741,-0.0016000000000000014,0.003979949748426483,0.14285714285714285,7,215,247,264,474,445,251
V409,0.19895883398736902,0.6556108929586503,0.017602667524431403,0.0,0.001631226621287428,-0.0010000000000000009,0.004024922359499625,0.1111111111111111,9,342,14,299,313,413,351
V410,2.639110234690744,0.10441964969408993,0.009121499469234795,0.04259792655708655,0.0017580280265029969,0.0010000000000000009,0.002569046515733028,0.25,4,73,80,103,217,277,101
V411,3.567147393740343,0.05907819465970507,0.0,0.04716659524666722,0.0020108110396883337,-0.0008000000000000007,0.002561249694973142,0.25,4,48,247,91,96,398,101
V412,6.220246693324652,0.012710021400305808,0.0,0.04711373569268179,0.001836077431208563,0.006800000000000006,0.0063371918071019485,0.2,5,17,247,92,179,26,151
V413,3.004103694626431,0.08320818369455053,0.0,0.04815990422714469,0.0014470293558331614,0.002400000000000002,0.0032000000000000028,0.25,4,64,247,90,404,174,101
V414,2.909435290775001,0.08821812942916807,0.0,0.05736707217411693,0.002183636584044356,0.0018000000000000017,0.005688585061331162,0.25,4,65,247,67,52,213,101
V415,2.524458887892065,0.11225144298006846,0.0,0.06341584224298664,0.0018883411691882571,-0.0026000000000000025,0.004004996878900161,0.3333333333333333,3,80,247,52,148,482,51
V416,0.6363676411871039,0.4251239914479426,0.0,0.030145846439270714,0.002088170568850344,-0.002400000000000002,0.002332380757938122,0.16666666666666666,6,234,247,149,73,476,201
V417,0.005270357414786149,0.9421338995177351,0.0028716269026740626,0.0031597594084233167,0.0015522420941020845,0.0018000000000000017,0.0022715633383201114,0.14285714285714285,7,471,182,281,352,213,251
V418,1.288949153110365,0.25637787102582466,0.0018491005863405796,0.05874317273104731,0.0021105237357564883,0.007000000000000006,0.003255764119219944,0.5,2,150,201,62,67,24,2
V419,0.6854543030117795,0.4078137357661316,0.0,0.0,0.002084679612815701,0.0026000000000000025,0.0018000000000000015,0.1,10,225,247,299,75,156,401
V420,1.7575350750772547,0.18508381619715308,0.0003617107051803181,0.028888799100978066,0.0019410709974711316,-0.0016000000000000014,0.003440930106817054,0.2,5,120,235,154,128,445,151
